ID,N°,Tipo,T,Quechua ,Traducción (español)
E106,106,Oración,S,Kay mikhuyqa ch'akiypaqmi ancha allin,Este alimento es muy bueno para aplacar la sed
E107,107,Oración,S,Runaqa kusikuywanmi chakranta llank'an,El hombre trabaja con alegría su chakra
E108,108,Oración,S,Chay qhesti wakaytaqa wayra killapi p'unchawniypi  mikhusunchis,Esa mi vaca barrosa la comeremos en el mes de agosto por mis cumpleaños.
E109,109,Oración,S,Llapallan aylluntinmi sarata waqaychanku,Toda la familia está entrojando el maíz
E110,110,Oración,S,Paqarinmi suchikunata challwaq risunchis,Mañana iremos a pescar suches
E111,111,Oración,S,Chay wawaqa ancha yachayniyuqmi kasqa,Esa criatura tiene muchos conocimientos
E112,112,Oración,S,Wawaqa suti taytanman chimpaykun,La niña se acercó a su padrino de bautismo
E113,113,Oración,S,Mana rikuchikuspallan unchuchukuchaqa runakunata qhawan,La comadreja observa a las personas sin ser vista
E114,114,Oración,S,Sapanka ch’ichimantapas huk yuraqa wiñamunmanmi,De cada brote puede generarse una nueva planta
E115,115,Oración,S,Sara tarpusqanchisqa ñan ch'ichiramunqa,Ya germinó el maíz que sembramos
E116,116,Oración,S,Wik´uñakunaqa huñusqallapin purinku,Las vicuñas caminan siempre formando tropas
E117,117,Oración,S,Hat’aqutaqa yuyutahinam ima mikhuypipas wayk’ukunapuni,Los bledos son buenos para consumirlos cocidos como verduras
E118,118,Oración,S,Roqoto sirk'anqa ancha hayallañan,La vena del rocoto es muy picante
E119,119,Oración,S,Kunan wata qollanapaq kanaypaqmi akllawaranku,Me eligieron para ser dirigente por este año
E120,120,Oración,S,Arequipa llaqtaqa sillarkunawan ruwasqan kashan,Las casas de Arequipa están hechas de piedra sillar
E121,121,Oración,S,Papa wathiyanapaq hurnuta ruphachiy,Haz calentar el horno para asar papas
E122,122,Oración,S,Kirkinchuq sillunkunaqa aswan kuchukuqmi añasmanta,El armadillo tiene uñas más filudas que el zorrino
E123,123,Oración,S,Qaparispa hinaraqmi rimanki,Hablarás en voz fuerte
E124,124,Oración,S,K’ulluta allichasunchis wasichanapaq,Preparemos tablas para techar la casa
E125,125,Oración,S,Wik’uñaqa alquta p'itaspa llallin,La vicuña le gana en correr al perro
E126,126,Oración,S,Wawaykiwan wawaywanqa kasqan watayuqmi kanku,Tu hijo y mi hijo tienen la misma edad
E127,127,Oración,S,Alqoqa yupinta mushkhispalla duyñunta tarin,El perro encontró a su dueño olfateando sus huellas solamente
E128,128,Oración,S,Chay qhatata pukllananchispaq pampachasunchis,Aplanemos esa ladera para jugar
E129,129,Oración,S,Chay sumaq wasiqa hatun rumikunawan ruwasqan kashan,Esta hermosa casa está hecha de piedras grandes
E130,130,Oración,S,Ñandutaqa manan kawallupi phawaspapas aypasunchismanchu,Al ñandú no le podemos dar alcance ni corriendo a caballo
E131,131,Oración,S,Ninkun ñawpa runakunaqa ukumari qarawanmi p'achakuranku,Dicen que las personas antiguas se cubrían el cuerpo con piel del oso
E132,132,Oración,S,Sutiykita ayllu sutiykitawan qhillqay,Escribe tu nombre y apellido
E133,133,Oración,S,Huñunasqa rimaypa tukuyninpi muyuchata churay,Pon un punto al final de la oración
E134,134,Oración,S,Hatun raphipi harawita ruwasunchis,Escribiremos un poema en un papelote
E135,135,Oración,S,¡Hamuy! ¡P'itay!,"¡Ven!, ¡corre!"
E136,136,Oración,S,Rimaykunatam kunan pachapi qhillqasaq,Voy a escribir las oraciones en tiempo presente’
E137,137,Oración,S,Ruraqqa rimaypa kaqninmi,El sujeto es un elemento de la oración’
E138,138,Oración,S,Sutichayqa suti llapanman churaymi,Nombrar es poner nombre a todo ser
E139,139,Oración,S,¡Runa siminchis kawsachun!,¡Viva nuestra lengua quechua!
E140,140,Oración,S,¿Qhelqasqaykunaqa rakikuyniyuqmi?,¿Mi escrito contiene sus partes?
E141,141,Oración,S,Kikiykimanta qhelqay,Escribe tu autobiografía
E142,142,Oración,S,Kay rimanata ñawpa pachapi qhelqay,Conjuga este verbo en tiempo pasado
E143,143,Oración,S,¿Imataq rimaykuna ?,¿Qué es una frase?
E144,144,Oración,S,Ashkha qhelqakunata ruwasunchis,Hay que producir muchos textos
E145,145,Oración,S,Kay rimaykunaq saphinta t'aqay,Separa la raíz de estas palabras
E146,146,Oración,S,Ch´ulla sutikunata seq´ey,Subraya los sustantivos singulares
E147,147,Oración,S,"Yachachiqmi rimashan, ama hark'asunchu","Está hablando el profesor, no interrumpamos"
E148,148,Oración,S,Saqsampillu sutiyuq tusuyqa mawk´a p’achakunawanmi tusukun.,El sacsampillo se baila con ropas viejas.
E149,149,Oración,S,Saraqa hank'api hinallataq mut'ipi mikhukun,El maíz se come en tostado como en mote
E150,150,Oración,S,Chayrutaqa ch’uñu saqtayuqtan wayk´ukun,El chairo se prepara con chuño chancado.
E151,151,Oración,S,Qosqo llaqtapi hinallataq wak  llaqtakunapipas runakunaqa sarawanmi allin qhali kanku,En el Cuzco como en los otros pueblos andinos el maíz alimenta muy bien a los hombres
E152,152,Oración,S,Sawintu sach’aqa aycha ruruyuqmi,El guayabo tiene un fruto carnoso
E153,153,Oración,S,Sikutaqa phukuspa waqachina.,La zampoña se toca soplando.
E154,154,Oración,S,"Waraqoq khishkan chakiyman haykuruwan, ama hina kaspa orqorukuway",Una espina del cactus se me ha introducido en el pie. Por favor extráemelo.
E155,155,Oración,S,Sarata t'ipispaqa markapin waqaychana,Luego de despancar el maóz se gurda en la ramada
E156,156,Oración,S,Tarpuy killapaqñan chayamusaq,Vendré ya para la época del sembrío.
E157,157,Oración,S,Llapallankun llaqtaman rishanku,Todos están yendo al pueblo.
E158,158,Oración,S,Kay qara patachapi tiyaykuy,Siéntate sobre este cuerito
E159,159,Oración,S,Wawalla kashaspaqa Maychunuyo llaqtapin tiyarayku,Estando niño radicamos en Maychunuyo
E160,160,Oración,S,Kay qhelqataqa manan noqachu ruwarani yanqan tumpawashanku,"Este escrito no lo hice yo, por gusto me están calumniando"
E161,161,Oración,S,Alqoqa uywakunatan muyurispa  sapa tutan kanispa,El perro rodea al ganado ladrando cada noche.
E162,162,Oración,S,Unuqa ancha allinmi kurkunchispaq hinallataq qhalilla kananchispaq,El agua en bueno y saludable para nuestro cuerpo
E163,163,Oración,S,Ch´oqhoy qhepamanqa manan toqayninchistaqa millp´unanchischu thoqananchismi chaymanta sarunanchis,Luego de toser no debemos tragarnos la saliva͖ debemos escupirla y luego pisarla.
E164,164,Oración,S,"Hayan thuqayniyqa kashan, ima llakikuyniychá kanqa",Tengo la saliva amarga͗ qué preocupaciones tendré.
E165,165,Oración,S,"Ana, ama hina kaychu, sapanka wawaman chay patarakunata rakiy","Anita, por favor distribuye estos libros a cada niño."
E166,166,Oración,S,T'ipanawan allinta mantunniykita t´ipay,Asegura tu mantita con el prendedor.
E167,167,Oración,S,Sipaskunaqa sumaq t’ipanakunawan t’ipasqa llaqtata rinku.,Las jovencitas van al pueblo exhibiendo sus mejores prendedores.
E168,168,Oración,S,¿Pitaq chay t’ikakunatari t´irarun?,͎Quién arrancó esas flores͍
E169,169,Oración,S,Chay t’oqo hatun waraykitaqa amaña churakuychu.,Ya no te pongas tu pantalón con agujeros.
E170,170,Oración,S,Sara chakramantaqa  qorakunata saphintinta wikhana.,Las malas hierbas deben ser arrancadas desde la raíz de las chacras de maíz
E171,171,Oración,S,Llink'i hallp´aqa paraqtinmi t´uruyan,La tierra arcillosa o la removida se pone barrosa cuando llueve.
E172,172,Oración,S,Yuraq  umiñayuq siwita ruwachipusqayki,Te mandaré hacer una sortija con diamante blanco.
E173,173,Oración,S,"Paqarinqa manan qasisaqchu, onqoqniypaqmi wayk´unay kashan.","El día de mañana no estaré libre, debo de cocinar para mi paciente."
E174,174,Oración,S,Karruypa llantantan allichasharani,Estaba arreglando la llanta de mi carro
E175,175,Oración,S,Khullu papamantaqa ch’uñuta ruwanchis,Elaboramos chuño de la papa menuda
E176,176,Oración,S,¡Haw! Kay uchuqa nishutan hayasqa,¡Jau! ¡Qué picante este ají!
E177,177,Oración,S,Wakayqa chinata wachapuwasqa,Mi vaca había parido una cría hembra
E178,178,Oración,S,Mana sasachakuywanmi phishqa watamanta soqta watamanqa chayasaq,Pasaré sin mayores diĮcultades del quinto al sexto grado
E179,179,Oración,S,Mamaymi sumaq mikhunata wayk´un,Mi mamá cocina una comida deliciosa
E180,180,Oración,S,Qapariqtiymi manaña khatatatanñachu,Cuando se le gritó dejó de delirar
E181,181,Oración,S,Kay raqachaqa rumumanmi rikch’akun,Esta racacha se parece a la yuca
E182,182,Oración,S,¿Camionmanta qhatukuna suwaq runata yuyashankichu?,¿Recuerda al hombre que robó la mercadería del camión?
E183,183,Oración,S,"Kay lapischakunata rakiy, llapanmanmi aypachinayki","Distribuye estos lápices, pero haz alcanzar a todos."
E184,184,Oración,S,Ch'aska lloqsiytaraqmi chakra llank'aq runakunaqa hatarin,Los andinos ya se levantan cuando aparece la estrella Venus
E185,185,Oración,S,"Kay ishkay k'aspichakunata watay, ichapas aqna aypanman","Une estos dos palos, quizás así alcancen"
E186,186,Oración,S,Pujilí llaqtapiqa llimp’isqa paqpa ch’awartan qhatunku,En el pueblo de Pujilí venden pita teñida de maguey
E187,187,Oración,S,Chay sipascha wasinman phawaylla rishan,Esa señorita está corriendo hacia su casa
E188,188,Oración,S,Chay erqekunaqa wichaymanmi phawasharanku,Los niños estaban corriendo hacia arriba
E189,189,Oración,S,Kay wataqa sumaq watan kanqa,Este año será un buen año
E190,190,Oración,S,Tayta churinpa mana allin watasqanta watapan ,El padre reamarra lo que el hijo no amarro bien
E191,191,Oración,S,Chay tayta allinta llank´an,Aquel padre trabaja bien
E192,192,Oración,S,Chay tayta hinaqa manan hukqa kanchu,Como aquel padre no hay otro
E193,193,Oración,S,Chakrapi runakuna llank´ashanku,Los hombres están trabajando en la chacra
E194,194,Oración,S,Qosqopiqa hallp´ataqa turukunawanmi yapunku,En Cusco el terreno aran con el ganado
E195,195,Oración,S,¿Imata chayraykipi tarpunki?,¿Qué vas a sembrar en tu chacra? 
E196,196,Oración,S,Chakrantan qarpasharan,Estaba regando su chacra
E197,197,Oración,S,Waynaqa wawqenwanmi ñut'upashan,El joven está roturando con su hermano 
E198,198,Oración,S,Taytanqa qoranatan ruwashan,El padre está haciendo tirapié
E199,199,Oración,S,Chay sipaskuna k´umushanku oqarinankunpaq,Esas señoritas estan agachándose para recoger.
E200,200,Oración,S,Chay chuchu ichhuqa nishu ch´akin manan  wawakunapas mikhunkuchu,La paja brava es tan dura que ni las vacas las comen
E201,201,Oración,S,"Wayra, Inti, unu, runa, uywakunapas kallpayuqmi kanchis","El viento, el sol, el agua y las personas tenemos fuerza"
E202,202,Oración,S,Wawqechayqa tenazawanmi makinta kanirachikun,La tenaza mordió la mano de mi hermanito
E203,203,Oración,S,Chay wawaqa mamanpa ñuñunta kanirusqa,Esa criatura mordió el pezón de su madre
E204,204,Oración,S,Allin kaqtapunin ruwanayki,Debes hacer siempre el bien
E205,205,Oración,S,Sumaqllatan pukllananchis ama urmayunapaqqa,Si jugamos sin cuidado podemos caernos
E206,206,Oración,S, Alqotaqa kunkanmanta watana,A los perros se les amarra del pescuezo
E207,207,Oración,S,Ishkay k'ullutan chaka ruwananchispaqqa q'episunchis,Trasladaremos dos troncos para construir el puente
E208,208,Oración,S,Wiksanchis hunt'a kaqtinqa imatapas kusikuywanmi ruwanchis,"Si la barriga está llena, todo lo hacemos alegremente"
E209,209,Oración,S,Kay q'aytuta ishkay ishkaymanqa kuruy,Ovíllame este hilo poniéndolo de a dos
E210,210,Oración,S,Wawaqa suti taytanman chimpaykun,La niña se acercó a su padrino de bautismo
E211,211,Oración,S,Uyan munay  hawt´iy rit´i kan.,Su rostro tiene la belleza de un copo de nieve.
E212,212,Oración,S,"Waylluqtiyki, llapan muyuyninpi kaq allinpinim.","Cuando amas, todo a tu alrededor tiene más sentido."
E213,213,Oración,S,"Taki allin kayta apamun, khuyay kaqtinpas.","La música inspira entusiasmo, incluso si es sombría, "
E214,214,Oración,S,"Allin ruwayqa mati unipi mishk´ihinan; pisi kaqtinpas, llapan mishk´imanmi tukuchin.","La esperanza es como el azúcar en el té; incluso cuando hay muy poco, hará que todo sea más dulce."
E215,215,Oración,S,Kunanpunin allin  ima ruwanapaqpas.,El mejor momento para la acción es ahora.
E216,216,Oración,S,Manan hayk´aqpas yacharanichu wak runa kusichiwananta.,Nunca pensé que otra persona podría hacerme tan feliz.
E217,217,Oración,S,Tuta mikhuna sumaqmi kanman karqan asnasharanpas sumaqtan.,La cena parecía deliciosa y olía muy bien.
E218,218,Oración,S,"¡Qolqe orqokuyqa allinpunin, yanqallamanta qolqe hamuyqa llapantan t´ikrarunman!","¡Ganar la lotería es grandioso, porque una ganancia inesperada puede cambiarlo todo!"
E219,219,Oración,S,"¡T´inkasun kasarakuqkunarayku, kawsaypi allin purinankupaq!","¡Brindo por la novia y el novio, para que tengan suerte en la vida!"
E220,220,Oración,S,Sumaq allinpunin allin waliqpunin regalo qowasqankuqa.,Fue el regalo más maravilloso y valioso que podian darme.
E221,221,Oración,S,"Musqhoykuna hunt´akuyta atinmanhinaqa, sumaq kawsaytan apamun. ","La posibilidad de que los sueños se cumplan, hace que la vida sea fascinante."
E222,222,Oración,S,"Ima qallariqtinpas allinpunin kakun, imapis ruwakullanmanpunin.","Me encanta lo que se siente cuando algo comienza, porque cualquier cosa es posible."
E223,223,Oración,S,Allin ñanqa allintapunin apamunqa.,El camino correcto siempre evoca sentimientos positivos.
E224,224,Oración,S,Imaymanatan llapan atisqayta ruwashani mana nishuta oqllarunaypaq.,Estoy haciendo todo lo que puedo para no abrazarlo muy fuerte.
E225,225,Oración,S,"Sapa kuti sumaq asikuq runakunata rukuqtiy, noqapas anchatan asikuni.","Cada vez que veo a personas que son amables y sonrientes, también sonrío ampliamente."
E226,226,Oración,S,"Kawsayqa manan samayninpichu tupukun, ichaqa kawsasqaykikuna samayninta.","La vida no se mide por el número de respiraciones, sino por el número de momentos que te dejan sin aliento."
E227,227,Oración,S,"Wakin hatun ruwaykuna, rakikunmi, khumpatan tarin.","Hay algunos eventos que, si se comparten, generan amistad."
E228,228,Oración,S,"Allin yachayqa, nanayta ishkayayta chanqaqtiykin kan.","La delicia intelectual, se produce cuando se eliminan las sospechas y el dolor"
E229,229,Oración,S,Ch´inlla kaqtiyqa manan kusisqa kani chaytapunichu nin.,El hecho de que sea silencioso no significa que no sea infinitamente feliz.
E230,230,Oración,S,"Allintan yachasqay qhepaman, tapuykunata allin yupaywan pasani.","Después de estudiar mucho, aprobé el examen con la mejor calificación."
,"110,7272727",,,,
